Country,Region,Happiness Rank,Happiness Score,Economy (GDP per Capita),Family,Healthy Life Expectancy,Freedom,Generosity,Trust Government Corruption,Dystopia Residual,,,,,,,
Jordan,MENA,123,4.12,1.292,0.98,0.438,0.517,0.056,0.173,0.663,,,,,,,
Kazakhstan,Central and Eastern Europe,44,6.144,1.664,1.491,0.389,0.628,0.136,0.149,1.688,,,,,,,
Kenya,Sub-Saharan Africa,111,4.487,1.051,0.881,0.19,0.418,0.291,0.055,1.601,,,,,,,
Kosovo,Central and Eastern Europe,34,6.368,1.374,1.269,0.372,0.639,0.275,0.045,2.393,,,,,,,
Kyrgyzstan,Central and Eastern Europe,62,5.825,1.061,1.439,0.417,0.735,0.234,0.018,1.92,,,,,,,
Latvia,Central and Eastern Europe,41,6.213,1.737,1.505,0.405,0.58,0.107,0.071,1.808,,,,,,,
Lebanon,MENA,136,2.392,1.417,0.476,0.398,0.123,0.061,0.027,-0.11,,,,,,,
Liberia,Sub-Saharan Africa,125,4.042,0.628,0.644,0.141,0.471,0.219,0.071,1.869,,,,,,,
Lithuania,Central and Eastern Europe,20,6.763,1.808,1.511,0.432,0.487,0.059,0.089,2.377,,,,,,,
Luxembourg,Western Europe,9,7.228,2.2,1.357,0.549,0.71,0.149,0.418,1.845,,,,,,,
Madagascar,Sub-Saharan Africa,127,4.019,0.632,0.779,0.178,0.187,0.177,0.134,1.932,,,,,,,
Malawi,Sub-Saharan Africa,131,3.495,0.637,0.479,0.189,0.49,0.139,0.129,1.432,,,,,,,
Malaysia,Southeastern Asia,55,6.012,1.665,1.155,0.385,0.659,0.222,0.122,1.804,,,,,,,
Mali,Sub-Saharan Africa,120,4.198,0.763,0.637,0.106,0.441,0.121,0.059,2.07,,,,,,,
Malta,Western Europe,37,6.3,1.841,1.468,0.547,0.671,0.2,0.143,1.429,,,,,,,
Mauritania,Sub-Saharan Africa,103,4.724,1.099,0.764,0.244,0.32,0.13,0.195,1.973,,,,,,,
Mauritius,Sub-Saharan Africa,59,5.902,1.589,1.382,0.336,0.574,0.121,0.11,1.79,,,,,,,
Mexico,Latin America and Caribbean,36,6.33,1.55,1.169,0.389,0.632,0.086,0.115,2.389,,,,,,,
Moldova,Central and Eastern Europe,63,5.819,1.425,1.302,0.375,0.61,0.093,0.02,1.995,,,,,,,
Mongolia,Eastern Asia,61,5.84,1.379,1.494,0.244,0.425,0.239,0.058,2.001,,,,,,,
Montenegro,Central and Eastern Europe,67,5.722,1.537,1.385,0.424,0.563,0.17,0.061,1.581,,,,,,,
Morocco,MENA,100,4.903,1.236,0.535,0.337,0.54,0.013,0.085,2.158,,,,,,,
Myanmar,Southeastern Asia,117,4.372,1.032,1.125,0.269,0.46,0.4,0.194,0.893,,,,,,,
Nepal,Southern Asia,78,5.36,0.979,1.027,0.281,0.567,0.215,0.104,2.187,,,,,,,
Netherlands,Western Europe,5,7.403,1.942,1.488,0.545,0.672,0.251,0.394,2.11,,,,,,,
New Zealand,Australia and New Zealand,10,7.123,1.842,1.544,0.513,0.672,0.23,0.471,1.852,,,,,,,
Nicaragua,Latin America and Caribbean,40,6.259,1.109,1.292,0.385,0.66,0.148,0.218,2.448,,,,,,,
Niger,Sub-Saharan Africa,109,4.501,0.561,0.628,0.137,0.54,0.154,0.14,2.341,,,,,,,
Nigeria,Sub-Saharan Africa,95,4.981,1.065,1.007,0.092,0.448,0.176,0.013,2.181,,,,,,,
Norway,Western Europe,7,7.315,1.994,1.521,0.544,0.752,0.212,0.463,1.829,,,,,,,
Pakistan,Southern Asia,108,4.555,1.081,0.657,0.158,0.511,0.141,0.102,1.907,,,,,,,
Palestine,MENA,99,4.908,1.144,1.309,,0.416,0.065,0.067,,,,,,,,
Panama,Latin America and Caribbean,38,6.265,1.714,1.402,0.475,0.63,0.065,0.036,1.943,,,,,,,
Paraguay,Latin America and Caribbean,66,5.738,1.428,1.427,0.392,0.678,0.148,0.062,1.604,,,,,,,
Peru,Latin America and Caribbean,75,5.526,1.39,1.153,0.499,0.549,0.073,0.027,1.835,,,,,,,
Philippines,Southeastern Asia,76,5.523,1.238,1.108,0.286,0.714,0.104,0.141,1.931,,,,,,,
Poland,Central and Eastern Europe,39,6.26,1.767,1.474,0.477,0.511,0.12,0.139,1.772,,,,,,,
Portugal,Western Europe,56,5.968,1.758,1.356,0.537,0.693,0.031,0.037,1.556,,,,,,,
Romania,Central and Eastern Europe,24,6.589,1.726,1.28,0.423,0.631,0.044,0,2.485,,,,,,,
