Country,Region,Happiness Rank,Happiness Score,Economy (GDP per Capita),Family,Healthy Life Expectancy,Freedom ,Generosity,Trust Government Corruption,Dystopia Residual,,,,,,,,,,,,,,,
Indonesia,Southeastern Asia,96,5.093,0.899,1.215,0.522,0.538,0.484,0.018,1.417,,,,,,,,,,,,,,,
Iran,MENA,106,4.707,1.059,0.771,0.691,0.459,0.282,0.129,1.316,,,,,,,,,,,,,,,
Iraq,MENA,117,4.456,1.01,0.971,0.536,0.304,0.148,0.095,1.392,,,,,,,,,,,,,,,
Ireland,Western Europe,14,6.977,1.448,1.583,0.876,0.614,0.307,0.306,1.843,,,,,,,,,,,,,,,
Israel,MENA,19,6.814,1.301,1.559,0.883,0.533,0.354,0.272,1.912,,,,,,,,,,,,,,,
Italy,Western Europe,47,6,1.264,1.501,0.946,0.281,0.137,0.028,1.843,,,,,,,,,,,,,,,
Jamaica,Latin America and Caribbean,56,5.89,0.819,1.493,0.693,0.575,0.096,0.031,2.183,,,,,,,,,,,,,,,
Japan,Eastern Asia,54,5.915,1.294,1.462,0.988,0.553,0.079,0.15,1.389,,,,,,,,,,,,,,,
Jordan,MENA,90,5.161,0.822,1.265,0.645,0.468,0.13,0.134,1.697,,,,,,,,,,,,,,,
Kazakhstan,Central and Eastern Europe,60,5.79,1.143,1.516,0.631,0.454,0.148,0.121,1.777,,,,,,,,,,,,,,,
Kenya,"Sub-Saharan Africa
",124,4.41,0.493,1.048,0.454,0.504,0.352,0.055,1.504,,,,,,,,,,,,,,,
Kosovo,Central and Eastern Europe,66,5.662,0.855,1.23,0.578,0.448,0.274,0.023,2.254,,,,,,,,,,,,,,,
Kuwait,MENA,45,6.083,1.474,1.301,0.675,0.554,0.167,0.106,1.806,,,,,,,,,,,,,,,
Kyrgyzstan,Central and Eastern Europe,92,5.131,0.53,1.416,0.594,0.54,0.281,0.035,1.735,,,,,,,,,,,,,,,
Latvia,Central and Eastern Europe,53,5.933,1.148,1.454,0.671,0.363,0.092,0.066,2.139,,,,,,,,,,,,,,,
Lebanon,MENA,80,5.358,0.965,1.179,0.785,0.503,0.214,0.136,1.576,,,,,,,,,,,,,,,
Liberia,"Sub-Saharan Africa
",149,3.495,0.076,0.858,0.267,0.419,0.206,0.03,1.639,,,,,,,,,,,,,,,
Libya,MENA,70,5.566,0.985,1.35,0.553,0.496,0.116,0.148,1.918,,,,,,,,,,,,,,,
Lithuania,Central and Eastern Europe,50,5.952,1.197,1.527,0.716,0.35,0.026,0.006,2.13,,,,,,,,,,,,,,,
Luxembourg,Western Europe,17,6.91,1.576,1.52,0.896,0.632,0.196,0.321,1.769,,,,,,,,,,,,,,,
Madagascar,"Sub-Saharan Africa
",143,3.774,0.262,0.908,0.402,0.221,0.155,0.049,1.777,,,,,,,,,,,,,,,
Malawi,"Sub-Saharan Africa
",147,3.587,0.186,0.541,0.306,0.531,0.21,0.08,1.733,,,,,,,,,,,,,,,
Malaysia,Southeastern Asia,35,6.322,1.161,1.258,0.669,0.356,0.311,0.059,2.508,,,,,,,,,,,,,,,
Mali,"Sub-Saharan Africa
",118,4.447,0.37,1.233,0.152,0.367,0.139,0.056,2.13,,,,,,,,,,,,,,,
Malta,Western Europe,22,6.627,1.27,1.525,0.884,0.645,0.376,0.142,1.785,,,,,,,,,,,,,,,
Mauritania,"Sub-Saharan Africa
",126,4.356,0.557,1.245,0.292,0.129,0.134,0.093,1.906,,,,,,,,,,,,,,,
Mauritius,"Sub-Saharan Africa
",55,5.891,1.09,1.387,0.684,0.584,0.245,0.05,1.851,,,,,,,,,,,,,,,
Mexico,Latin America and Caribbean,24,6.488,1.038,1.252,0.761,0.479,0.069,0.095,2.794,,,,,,,,,,,,,,,
Moldova,Central and Eastern Europe,67,5.64,0.657,1.301,0.62,0.232,0.171,0,2.659,,,,,,,,,,,,,,,
Mongolia,Eastern Asia,94,5.125,0.914,1.517,0.575,0.395,0.253,0.032,1.439,,,,,,,,,,,,,,,
Montenegro,Central and Eastern Europe,81,5.347,1.017,1.279,0.729,0.259,0.111,0.081,1.871,,,,,,,,,,,,,,,
