Country,Region,Happiness Rank,Happiness Score,Economy (GDP per Capita),Family,Health Life Expectancy,Freedom,Generosity,Trust Government Corruption,Dystopia Residual,,,,,,,,,,,,,
Afghanistan,Southern Asia,154,3.36,0.38227,0.11037,0.17344,0.1643,0.31268,0.07112,2.14558,,,,,,,,,,,,,
Albania,Central and Eastern Europe,109,4.655,0.9553,0.50163,0.73007,0.31866,0.1684,0.05301,1.92816,,,,,,,,,,,,,
Algeria,MENA,38,6.355,1.053,0.833,0.618,0.210,0.070,0.162,3.409,,,,,,,,,,,,,
Argentina,Latin America and Caribbean,26,6.65,1.15137,1.06612,0.69711,0.42284,0.10989,0.07296,3.12985,,,,,,,,,,,,,
Armenia,Central and Eastern Europe,121,4.36,0.86086,0.62477,0.64083,0.14037,0.07793,0.03616,1.97864,,,,,,,,,,,,,
Australia,Australia and New Zealand,9,7.313,1.44443,1.10476,0.8512,0.56837,0.47407,0.32331,2.5465,,,,,,,,,,,,,
Austria,Western Europe,12,7.119,1.45038,1.08383,0.80565,0.54355,0.32865,0.21348,2.69343,,,,,,,,,,,,,
Bahrain,MENA,42,6.218,1.440,0.944,0.657,0.474,0.171,0.258,2.274,,,,,,,,,,,,,
Bangladesh,Southern Asia,110,4.643,0.54177,0.24749,0.52989,0.39778,0.19132,0.12583,2.60904,,,,,,,,,,,,,
Belgium,Western Europe,18,6.929,1.42539,1.05249,0.81959,0.51354,0.2424,0.26248,2.61355,,,,,,,,,,,,,
Benin,Sub-Saharan Africa,153,3.484,0.39499,0.10419,0.21028,0.39747,0.2018,0.06681,2.10812,,,,,,,,,,,,,
Bolivia,Latin America and Caribbean,59,5.822,0.79422,0.83779,0.4697,0.50961,0.21698,0.07746,2.91635,,,,,,,,,,,,,
Bosnia and Herzegovina,Central and Eastern Europe,87,5.163,0.93383,0.64367,0.70766,0.09511,0.29889,0,2.48406,,,,,,,,,,,,,
Botswana,Sub-Saharan Africa,137,3.974,1.09426,0.89186,0.34752,0.44089,0.12425,0.10769,0.96741,,,,,,,,,,,,,
