Country,Region,Happiness Rank,Happiness Score,Economy (GDP per Capita),Family,Health Life Expectancy,Freedom,Generosity,Trust Government Corruption,Dystopia Residual,,,,,,,,,,,,,
Afghanistan,Southern Asia,141,3.794,0.401477,0.581543,0.180747,0.10618,0.311871,0.061158,2.150801,,,,,,,,,,,,,
Albania,Central and Eastern Europe,109,4.644,0.996193,0.803685,0.73116,0.381499,0.201313,0.039864,1.490442,,,,,,,,,,,,,
Algeria,MENA,53,5.872,1.092,1.146,0.618,0.233,0.069,0.146,2.568,,,,,,,,,,,,,
Argentina,Latin America and Caribbean,24,6.599,1.185295,1.440451,0.695137,0.494519,0.109457,0.05974,2.614005,,,,,,,,,,,,,
Armenia,Central and Eastern Europe,121,4.376,0.900597,1.007484,0.637524,0.198303,0.083488,0.026674,1.521499,,,,,,,,,,,,,
Australia,Australia and New Zealand,10,7.284,1.484415,1.510042,0.843887,0.601607,0.477699,0.301184,2.065211,,,,,,,,,,,,,
Austria,Western Europe,13,7.006,1.487097,1.459945,0.815328,0.567766,0.316472,0.22106,2.138506,,,,,,,,,,,,,
Bahrain,MENA,41,6.087,1.488,1.323,0.653,0.537,0.173,0.257,1.656,,,,,,,,,,,,,
Bangladesh,Southern Asia,110,4.608,0.586683,0.735132,0.533241,0.478357,0.172255,0.123718,1.978736,,,,,,,,,,,,,
Belgium,Western Europe,17,6.891,1.463781,1.462313,0.818092,0.539771,0.231503,0.251343,2.12421,,,,,,,,,,,,,
Benin,Sub-Saharan Africa,143,3.657,0.431085,0.4353,0.20993,0.425963,0.207948,0.060929,1.885631,,,,,,,,,,,,,
Bolivia,Latin America and Caribbean,58,5.823,0.833757,1.227619,0.47363,0.558733,0.225561,0.060478,2.443279,,,,,,,,,,,,,
Bosnia and Herzegovina,Central and Eastern Europe,90,5.182,0.982409,1.069336,0.705186,0.204403,0.328867,0,1.892173,,,,,,,,,,,,,
Botswana,Sub-Saharan Africa,142,3.766,1.122094,1.221555,0.341756,0.505196,0.099348,0.098583,0.377914,,,,,,,,,,,,,
Brazil,Latin America and Caribbean,22,6.635,1.107353,1.431306,0.616552,0.437454,0.16235,0.111093,2.769267,,,,,,,,,,,,,
Bulgaria,Central and Eastern Europe,105,4.714,1.161459,1.434379,0.708218,0.289232,0.113178,0.011052,0.996139,,,,,,,,,,,,,
Burkina Faso,Sub-Saharan Africa,134,4.032,0.350228,1.04328,0.215844,0.324368,0.250865,0.120328,1.727213,,,,,,,,,,,,,
Cameroon,Sub-Saharan Africa,107,4.695,0.564305,0.946018,0.132892,0.430389,0.236298,0.051307,2.333646,,,,,,,,,,,,,
Canada,North America,7,7.316,1.479204,1.481349,0.834558,0.611101,0.43554,0.287372,2.187264,,,,,,,,,,,,,
Chad,Sub-Saharan Africa,137,3.936,0.438013,0.953856,0.041135,0.162342,0.216114,0.053582,2.071238,,,,,,,,,,,,,
Chile,Latin America and Caribbean,20,6.652,1.252785,1.284025,0.81948,0.376895,0.326662,0.082288,2.509586,,,,,,,,,,,,,
China,Eastern Asia,79,5.273,1.081166,1.160837,0.741416,0.472788,0.028807,0.022794,1.764939,,,,,,,,,,,,,
Colombia,Latin America and Caribbean,36,6.357,1.070622,1.402183,0.595028,0.477487,0.149014,0.046669,2.616068,,,,,,,,,,,,,
Congo,Sub-Saharan Africa,124,4.291,0.808964,0.832044,0.289957,0.435026,0.120852,0.079618,1.724136,,,,,,,,,,,,,
Costa Rica,Latin America and Caribbean,12,7.079,1.109706,1.416404,0.759509,0.580132,0.214613,0.100107,2.898639,,,,,,,,,,,,,
Croatia,Central and Eastern Europe,77,5.293,1.222556,0.967983,0.701289,0.255772,0.248003,0.043103,1.854492,,,,,,,,,,,,,
Cyprus,Western Europe,65,5.621,1.355938,1.131363,0.844715,0.355112,0.271254,0.041238,1.621249,,,,,,,,,,,,,
Denmark,Western Europe,2,7.522,1.482383,1.551122,0.792566,0.626007,0.35528,0.40077,2.313707,,,,,,,,,,,,,
Dominican Republic,Latin America and Caribbean,86,5.23,1.079374,1.402417,0.574874,0.55259,0.186968,0.113945,1.319465,,,,,,,,,,,,,
Ecuador,Latin America and Caribbean,44,6.008,1.00082,1.286169,0.685636,0.455198,0.150112,0.140135,2.290353,,,,,,,,,,,,,
Egypt,MENA,104,4.735,0.990,0.997,0.520,0.282,0.129,0.114,1.702,,,,,,,,,,,,,
El Salvador,Latin America and Caribbean,45,6.003,0.909784,1.182125,0.596019,0.432453,0.078258,0.089981,2.714594,,,,,,,,,,,,,
Estonia,Central and Eastern Europe,66,5.611,1.320879,1.476671,0.695168,0.479131,0.098891,0.183249,1.357509,,,,,,,,,,,,,
Ethiopia,Sub-Saharan Africa,119,4.46,0.339234,0.864669,0.35341,0.408843,0.312651,0.165456,2.015744,,,,,,,,,,,,,
Finland,Western Europe,5,7.469,1.443572,1.540247,0.809158,0.617951,0.245483,0.382612,2.430182,,,,,,,,,,,,,
France,Western Europe,31,6.442,1.430923,1.387777,0.844466,0.470222,0.129762,0.172502,2.005955,,,,,,,,,,,,,
Gabon,Sub-Saharan Africa,118,4.465,1.19821,1.15562,0.356579,0.312329,0.043785,0.076047,1.322916,,,,,,,,,,,,,
Georgia,Central and Eastern Europe,125,4.286,0.950613,0.570615,0.649547,0.30941,0.054009,0.251667,1.500138,,,,,,,,,,,,,
Germany,Western Europe,16,6.951,1.487923,1.47252,0.798951,0.562511,0.336269,0.276732,2.01577,,,,,,,,,,,,,
Ghana,Sub-Saharan Africa,131,4.12,0.667225,0.873665,0.295638,0.423026,0.256924,0.025336,1.577868,,,,,,,,,,,,,
Greece,Western Europe,87,5.227,1.289487,1.239415,0.810199,0.095731,0,0.04329,1.749222,,,,,,,,,,,,,
Guatemala,Latin America and Caribbean,29,6.454,0.872002,1.255585,0.54024,0.531311,0.283488,0.077223,2.893891,,,,,,,,,,,,,
Guinea,Sub-Saharan Africa,149,3.507,0.24455,0.791245,0.194129,0.348588,0.264815,0.110938,1.552312,,,,,,,,,,,,,
Honduras,Latin America and Caribbean,91,5.181,0.730573,1.143945,0.582569,0.34808,0.236189,0.073345,2.065811,,,,,,,,,,,,,
Hong Kong,Eastern Asia,71,5.472,1.551675,1.262791,0.943062,0.490969,0.374466,0.293934,0.554633,,,,,,,,,,,,,
Hungary,Central and Eastern Europe,75,5.324,1.286012,1.343133,0.687763,0.175864,0.078402,0.036637,1.716459,,,,,,,,,,,,,
Iceland,Western Europe,3,7.504,1.480633,1.610574,0.833552,0.627163,0.47554,0.153527,2.322715,,,,,,,,,,,,,
India,Southern Asia,122,4.315,0.792221,0.754373,0.455428,0.469987,0.231538,0.092227,1.519117,,,,,,,,,,,,,
Indonesia,Southeastern Asia,81,5.262,0.995539,1.274445,0.492346,0.443323,0.611705,0.015317,1.429477,,,,,,,,,,,,,
Iran,MENA,108,4.692,1.157,0.712,0.639,0.249,0.387,0.049,1.499,,,,,,,,,,,,,
Iraq,MENA,117,4.497,1.103,0.979,0.501,0.289,0.200,0.107,1.319,,,,,,,,,,,,,
Ireland,Western Europe,15,6.977,1.535707,1.558231,0.809783,0.57311,0.427858,0.298388,1.773869,,,,,,,,,,,,,
Israel,MENA,11,7.213,1.375,1.376,0.838,0.406,0.330,0.085,2.802,,,,,,,,,,,,,
Italy,Western Europe,48,5.964,1.395067,1.444923,0.853144,0.256451,0.17279,0.028028,1.813312,,,,,,,,,,,,,
Jamaica,Latin America and Caribbean,76,5.311,0.925579,1.368218,0.641022,0.474307,0.233818,0.055268,1.612326,,,,,,,,,,,,,
Japan,Eastern Asia,51,5.92,1.416915,1.436338,0.913476,0.505626,0.120573,0.163761,1.363224,,,,,,,,,,,,,
Jordan,MENA,74,5.336,0.991,1.239,0.605,0.418,0.172,0.120,1.791,,,,,,,,,,,,,
Kazakhstan,Central and Eastern Europe,60,5.819,1.284556,1.384369,0.606042,0.437454,0.201964,0.119283,1.784893,,,,,,,,,,,,,
Kenya,Sub-Saharan Africa,112,4.553,0.560479,1.067951,0.309988,0.452764,0.44486,0.064641,1.651902,,,,,,,,,,,,,
