Country,Region,Happiness Rank,Happiness Score,Economy (GDP per Capita),Family,Health Life Expectancy,Freedom ,Generosity,Trust Government Corruption,Dystopia Residual,,,,,,,,,,,,,,,
Congo,Sub-Saharan Africa,103,4.812,0.673,0.799,0.508,0.372,0.105,0.093,2.262,,,,,,,,,,,,,,,
Costa Rica,Latin America and Caribbean,12,7.167,1.034,1.441,0.963,0.558,0.144,0.093,2.934,,,,,,,,,,,,,,,
Croatia,Central and Eastern Europe,75,5.432,1.155,1.266,0.914,0.296,0.119,0.022,1.66,,,,,,,,,,,,,,,
Cyprus,Western Europe,49,6.046,1.263,1.223,1.042,0.406,0.19,0.041,1.881,,,,,,,,,,,,,,,
Denmark,Western Europe,2,7.6,1.383,1.573,0.996,0.592,0.252,0.41,2.394,,,,,,,,,,,,,,,
Dominican Republic,Latin America and Caribbean,77,5.425,1.015,1.401,0.779,0.497,0.113,0.101,1.519,,,,,,,,,,,,,,,
Ecuador,Latin America and Caribbean,50,6.028,0.912,1.312,0.868,0.498,0.126,0.087,2.225,,,,,,,,,,,,,,,
Egypt,MENA,137,4.166,0.913,1.039,0.644,0.241,0.076,0.067,1.186,,,,,,,,,,,,,,,
El Salvador,Latin America and Caribbean,35,6.253,0.794,1.242,0.789,0.43,0.093,0.074,2.831,,,,,,,,,,,,,,,
Estonia,Central and Eastern Europe,55,5.893,1.237,1.528,0.874,0.495,0.103,0.161,1.495,,,,,,,,,,,,,,,
Ethiopia,Sub-Saharan Africa,134,4.286,0.336,1.033,0.532,0.344,0.209,0.1,1.732,,,,,,,,,,,,,,,
Finland,Western Europe,1,7.769,1.34,1.587,0.986,0.596,0.153,0.393,2.714,,,,,,,,,,,,,,,
France,Western Europe,24,6.592,1.324,1.472,1.045,0.436,0.111,0.183,2.021,,,,,,,,,,,,,,,
Gabon,Sub-Saharan Africa,104,4.799,1.057,1.183,0.571,0.295,0.043,0.055,1.595,,,,,,,,,,,,,,,
Georgia,Central and Eastern Europe,119,4.519,0.886,0.666,0.752,0.346,0.043,0.164,1.662,,,,,,,,,,,,,,,
Germany,Western Europe,17,6.985,1.373,1.454,0.987,0.495,0.261,0.265,2.15,,,,,,,,,,,,,,,
Ghana,Sub-Saharan Africa,98,4.996,0.611,0.868,0.486,0.381,0.245,0.04,2.365,,,,,,,,,,,,,,,
Greece,Western Europe,82,5.287,1.181,1.156,0.999,0.067,0,0.034,1.85,,,,,,,,,,,,,,,
Guatemala,Latin America and Caribbean,27,6.436,0.8,1.269,0.746,0.535,0.175,0.078,2.833,,,,,,,,,,,,,,,
Guinea,Sub-Saharan Africa,118,4.534,0.38,0.829,0.375,0.332,0.207,0.086,2.325,,,,,,,,,,,,,,,
Honduras,Latin America and Caribbean,59,5.86,0.642,1.236,0.828,0.507,0.246,0.078,2.323,,,,,,,,,,,,,,,
Hong Kong,Eastern Asia,76,5.43,1.438,1.277,1.122,0.44,0.258,0.287,0.608,,,,,,,,,,,,,,,
Hungary,Central and Eastern Europe,62,5.758,1.201,1.41,0.828,0.199,0.081,0.02,2.019,,,,,,,,,,,,,,,
Iceland,Western Europe,4,7.494,1.38,1.624,1.026,0.591,0.354,0.118,2.401,,,,,,,,,,,,,,,
